			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
PAMFEO_rnd-5_family-10639	DNA	Sola-1	1044	1479	0	88	1800	4382	343	5042	48	0	115	2283	82	0	0	4035	3389	310	6122	2127	491	2838	2537	1515	3096	206	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-271	DNA	TcMar-Tc1	129	105	74	200	89	719	655	3825	3441	9510	18745	36326	42338	55696	57558	60637	33527	21339	14166	9202	4915	4651	2276	1511	197	421	0	184	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1050_SO2_FAM2024	RC	Helitron	0	0	0	0	0	0	0	100	0	0	63	0	0	121	125	364	61	220	279	349	525	719	185	397	595	829	234	238	12	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2935_SO2_FAM101	LTR	Pao	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0593_SO2_FAM1578	DNA	CMC-Chapaev-3	0	0	0	0	0	0	0	53	0	0	0	0	39	86	240	257	151	46	776	3670	1395	5215	5198	5974	6467	9028	9311	15933	15502	22596	42937	41996	44922	35335	21510	9996	1481	356	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-4188	DNA	hAT-Ac	181	579	1538	1955	4600	8808	13527	16979	21531	15533	14739	8414	8280	3466	2681	2132	466	95	337	155	40	0	189	60	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-1958	LINE	I	2672	15326	39799	46425	43977	34867	10610	8163	867	4383	1220	184	417	46	287	541	473	2073	1834	3501	2122	2921	2653	1998	3327	7437	8351	3827	3301	3019	2563	0	1225	2334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nPIF-6_Hmel	DNA	PIF-Harbinger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-6_family-2696	LINE	I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_Hbes	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-656	DNA	hAT-hAT19	127	0	1224	1398	6557	8328	13660	7842	2155	725	1879	1215	1910	1759	1158	1239	1334	402	101	0	109	290	86	189	481	132	352	324	37	443	473	483	539	41	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2010_SO2_FAM2925	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-1976	DNA	hAT-hAT19	141	173	175	1851	4852	9054	34336	71258	81821	59597	26086	10064	6962	1857	1225	1212	722	179	201	329	381	347	411	376	348	806	669	628	127	557	792	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-5_family-74	LINE	RTE-RTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	127	0	0	0	101	127	268	232	1119	1866	557	353	228	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-318	LINE	CR1	1789	12009	117941	439807	429339	284308	169802	112704	86848	60972	53036	41475	31267	34602	26332	25801	26754	26385	21312	16812	13256	8264	8965	4243	2164	1655	1198	1009	1762	2407	634	692	1156	740	602	296	531	348	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-613	Unknown	Unknown	28	0	614	1470	4311	13239	27887	28314	38098	33677	23147	14408	18099	20053	30967	27679	35459	27185	16786	11151	6104	3086	2510	1675	724	487	72	34	131	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-5_family-1581	LINE	I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	53	260	1176	1217	2183	3401	1332	3049	1631	945	283	105	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-5856	RC	Helitron	38	58	175	29	84	480	565	1576	1625	3139	4827	7157	9005	13210	13030	19946	16376	14722	11355	5329	4543	4276	1356	896	99	0	238	58	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1488_SO2_FAM2445	Unknown	Unknown	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2397_SO2_FAM0460	DNA	hAT-Charlie	0	0	0	0	0	0	0	0	0	0	0	136	33	0	0	88	0	73	0	0	54	0	0	0	0	67	69	255	71	339	0	317	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0849_SO2_FAM1829	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	56	71	340	0	0	0	156	175	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1955_SO2_FAM2876	Unknown	Unknown	25	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0645_SO2_FAM1627	Unknown	Unknown	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	39	0	0	43	0	123	17	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-653	Unknown	Unknown	0	0	323	474	742	2031	3118	7802	12128	14889	19122	23012	22541	15869	16617	11421	11903	7474	3532	3141	2514	1171	2510	704	1156	842	447	182	718	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-1_family-637	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-257	SINE	tRNA	0	0	0	0	82	108	0	529	754	997	2168	2674	3641	6002	6389	8231	10903	10490	12585	8944	11371	8859	9009	8019	4891	4027	3287	1311	970	515	262	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2866_SO2_FAM0936	DNA	MULE-MuDR	0	0	0	0	0	0	30	0	0	42	0	0	44	0	48	0	0	0	85	1062	497	575	998	772	1011	1187	1822	3760	3862	4158	6685	9791	14688	16906	16047	7501	1040	1426	438	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-1513	LINE	RTE-BovB	0	0	186	0	0	0	0	38	0	45	50	138	106	88	250	219	474	124	232	774	1226	1322	741	2246	1226	1380	605	1218	1677	1361	1005	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-871	LINE	R1	0	0	113	0	362	0	8957	6081	4126	5733	7708	576	927	400	0	161	80	333	294	348	1945	2417	4120	7549	22418	42156	92686	79864	61191	71248	62962	31506	20387	6113	639	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-449	Unknown	Unknown	108	1394	19119	189066	345675	311552	280822	202608	141483	76752	43792	18112	9232	8893	4775	2759	3304	1511	519	539	390	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-4790	Unknown	Unknown	647	13852	151067	196317	105442	94685	44882	18694	5999	1795	1053	713	40	215	192	46	673	201	382	68	356	313	0	30	0	105	424	161	291	1480	685	509	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-19576	DNA	Sola-1	0	0	41	1081	2723	13814	20323	19500	14053	13252	13114	10953	10316	7237	5164	6350	5528	2654	3233	2394	1414	1218	10	395	869	226	303	193	430	14	15	151	259	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-9103	DNA	TcMar-Tc2	55	99	192	648	1038	1371	4189	7832	14288	22976	22958	18464	11727	4017	5456	3453	2179	2245	2037	1092	973	791	718	506	739	563	362	275	29	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2062_SO2_FAM2973	Unknown	Unknown	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	892	1718	653	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nMar-4_Avan	DNA	TcMar-Mariner	0	0	0	0	0	0	61	0	0	0	0	55	0	199	310	0	223	0	186	0	0	169	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nMar-1_Hnum	DNA	TcMar-Mariner	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	71	228	200	0	74	69	74	0	303	306	363	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1578_SO2_FAM2527	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0342_SO2_FAM1335	DNA	hAT-hAT19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	170	74	565	126	1192	1462	682	2709	5368	23481	138237	84736	19354	18742	18231	19279	8999	4054	1701	784	186	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-2727	Unknown	Unknown	106	56	131	91	519	1717	5056	8287	11573	9810	5560	3937	1837	690	347	0	338	0	0	0	0	176	0	287	207	486	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-12138	DNA	Sola-1	448	22088	10981	9772	7981	2933	1126	193	176	232	0	277	154	0	354	451	357	886	1757	2708	3579	3202	5952	3216	632	60	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-1_family-3	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	7	387	4133	1030	213	212	0	162	1295	402	391	0	92	0	0	0	0	0	0	0	0	0	0	0	0
TE1046_SO2_FAM2020	Unknown	Unknown	0	0	0	29	0	0	30	0	0	32	37	0	0	0	49	0	0	0	78	0	79	72	458	1247	1422	473	244	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-16840	DNA	hAT-hAT19	60	0	518	1116	6494	12786	22276	17560	6971	2745	3066	944	481	184	166	94	359	154	379	1716	524	685	338	667	1720	3984	3022	3040	1719	1077	801	1387	2149	2862	716	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nhAT-1_Hdem	DNA	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	76	0	0	107	0	393	94	0	0	22	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphne-1_Hmel_A	LINE	L2	0	0	0	0	0	0	0	0	0	33	38	0	39	146	0	0	113	39	235	347	182	495	270	411	982	966	6886	7528	3620	1454	2959	4663	10337	20930	26892	17954	3637	393	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-1413	DNA	hAT-hAT19	0	903	5280	15024	48396	40152	24219	6803	2547	1040	826	507	539	1320	1839	2200	1818	1790	3661	2992	3392	2002	2493	1764	473	1160	1357	751	1444	2145	4060	5974	4613	4592	1899	1073	400	0	298	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-617	DNA	hAT	1462	6529	17450	58044	72962	79855	55226	34901	15714	7578	3685	2861	2166	1035	598	372	63	0	215	37	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0183_SO2_FAM0118	LTR	Pao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	70	0	0	0	0	69	0	0	0	0	0	0	0	186	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2750_SO2_FAM0823	Unknown	Unknown	0	0	0	0	0	0	31	0	0	0	29	0	0	110	0	0	0	0	0	0	40	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3980	Unknown	Unknown	0	0	78	1535	4814	18964	15682	12744	10293	5142	3548	412	83	794	424	548	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE3138_SO2_FAM2030	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	64	0	244	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-7914	Unknown	Unknown	0	0	46	95	218	106	0	1026	1059	1281	2863	5106	10766	14946	17394	17891	19850	28351	7766	4770	1949	768	1933	884	316	289	214	256	250	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-2164	DNA	TcMar-Tc1	421	0	1549	247	3825	569	7315	772	6419	1639	5637	2003	3684	1844	2160	1217	414	1328	125	325	90	47	88	140	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-2343	Unknown	Unknown	0	81	0	0	0	0	0	0	115	267	974	779	1715	2393	3447	2780	4093	3342	5464	7624	9786	13379	12490	11486	10560	14256	8418	10192	3889	3887	2065	689	594	199	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nPIF-3_Hmel	DNA	PIF-Harbinger	0	0	42	0	0	0	0	0	0	0	0	0	0	0	62	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-6885	Unknown	Unknown	60	0	259	247	41	106	935	2632	3657	3984	5252	4782	4233	3168	2493	2941	1174	587	485	184	88	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-7297	Unknown	Unknown	2216	2706	1129	0	0	256	47	657	187	515	307	467	1210	948	1060	2984	3734	8542	9574	5600	3948	1750	473	795	1232	95	438	103	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-1528	DNA	TcMar-Tc1	0	58	213	446	1685	3879	11818	22182	19334	15261	8802	6462	2675	599	1362	1039	1502	1334	1093	1269	1395	2220	1635	538	693	307	284	470	266	217	254	543	706	659	2627	864	477	52	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-209	Unknown	Unknown	3863	29751	118915	201047	200669	136518	92400	72941	35193	15160	10655	5162	3932	2615	3199	4665	4145	4121	5387	3503	3479	2197	2091	1253	910	842	154	154	87	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0785_SO2_FAM1765	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-4_family-1016	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0154_SO2_FAM1152	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	107	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-18449	Unknown	Unknown	32	170	661	1958	4509	6210	9247	8325	7001	3828	2842	2603	320	251	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1472_SO2_FAM2430	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	124	393	361	345	481	328	153	404	167	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0146_SO2_FAM1145	DNA	TcMar-Tc1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-687	Unknown	Unknown	1816	8540	20893	27892	17797	8459	7707	4743	6637	13021	12090	11826	12514	19297	17077	15773	16323	13407	14102	13376	10596	5542	4578	2593	660	378	373	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2424_SO2_FAM0487	Unknown	Unknown	0	0	0	0	0	0	0	39	0	0	0	0	0	58	0	0	0	0	0	355	587	211	565	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-433	DNA	TcMar-Tc1	0	0	0	0	0	0	75	0	109	218	436	909	765	1456	2043	1861	3435	3968	4113	4728	5919	5817	4824	4812	3618	3825	3204	1389	1672	1389	329	159	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-599	Unknown	Unknown	6554	12357	11031	8127	3934	874	778	948	1488	1840	3419	2920	6615	5347	3149	2191	1046	225	94	482	244	405	1037	1281	401	1225	83	327	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-5_family-2211	Unknown	Unknown	0	0	72	33	190	655	454	1269	2030	1750	4453	4710	4110	5460	2658	3112	2295	1752	1167	452	209	81	57	40	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-6283	Unknown	Unknown	0	0	0	33	0	0	154	0	302	304	994	921	2460	3820	4412	5916	4452	6809	5148	3555	4037	2627	1461	888	586	399	254	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE3009_SO2_FAM1338	Unknown	Unknown	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-2276	DNA	Sola-2	192	0	75	149	106	1440	4126	6000	13632	6910	5506	1811	2213	2179	0	625	1385	2388	1604	925	1090	1595	479	675	2195	1738	1709	1496	2494	1174	0	331	296	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0237_SO2_FAM1236	DNA	hAT-hATx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-1248	Unknown	Unknown	30	0	82	54	422	386	557	830	1922	2337	3011	6393	8957	9984	8783	8344	8496	7513	4564	4691	2885	2522	1700	442	206	80	214	171	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3518	Unknown	Unknown	35	793	1357	5878	19129	33606	27573	24391	12932	3739	3690	2366	1028	592	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-296	Unknown	Unknown	1495	5029	11401	10663	7713	4656	1262	708	151	82	105	0	0	0	0	0	0	0	0	0	0	0	0	139	347	168	432	247	909	199	380	747	134	199	125	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0875_SO2_FAM1854	DNA	PIF-Harbinger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	147	0	71	232	0	245	0	177	305	72	81	102	30	43	92	111	275	21	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-1_family-601	LINE	I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-823	Unknown	Unknown	307	280	1460	4973	12194	25210	14361	8962	11404	29650	58960	30784	7481	4322	3386	3960	3667	1558	889	311	186	245	0	0	0	1	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-3_family-1274	DNA	TcMar-Mariner	306	0	824	1486	2300	8218	12476	17503	25595	27179	31236	31397	29583	18297	16398	10990	9415	5962	3600	4840	4346	3234	4834	6817	3310	4302	3839	2210	1136	573	1187	1635	223	357	474	714	465	179	0	315	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-2028	DNA	hAT-Ac	120	0	84	248	632	2149	5743	10500	14761	21493	14791	14928	16271	12473	13147	6055	5720	4492	2630	2527	2079	1860	2210	1215	638	1158	417	646	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-2162	LINE	L2	0	0	68	295	395	810	3144	3504	8112	14022	14399	8655	3799	2689	1485	274	433	938	54	77	138	47	71	136	183	108	110	94	80	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-5_family-80	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	56	0	75	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0515_SO2_FAM1500	LINE	RTE-RTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	142	372	400	87	361	65	67	245	80	0	133	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-205	DNA	TcMar-Mariner	63	0	0	28	90	0	398	743	1048	1402	2282	3217	4620	6271	7800	9756	7973	7971	5312	3121	2906	2289	629	1239	714	1327	711	1421	628	1629	1483	1225	480	554	664	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-3_family-204	Unknown	Unknown	250	55	321	399	753	1170	3076	7258	10346	19768	32865	54550	73005	99145	101133	102329	81064	68045	48321	33814	21876	11123	7154	2853	2171	1388	491	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-810	DNA	P	39236	76542	104970	91570	49028	97444	78333	63082	49466	31093	33014	20928	16429	15645	13785	15651	13985	12450	11202	8739	9747	6274	6597	5416	3212	3925	2260	1844	1177	1217	439	150	166	23	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-4_family-345	DNA	CMC-Chapaev-3	0	0	0	0	0	0	0	42	0	246	0	0	0	195	223	201	134	582	477	643	1598	1287	1844	2133	1678	1681	1021	1020	246	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-1211	LINE	RTE-BovB	0	0	0	0	45	0	108	828	1479	514	3091	2069	1471	1806	2401	5219	5876	4872	7877	4337	7710	5258	5290	6879	6019	9164	6881	5447	3771	3943	2435	1903	1002	1015	510	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE3010_SO2_FAM1342	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-5768	DNA	Sola-1	0	62	912	29473	77918	79215	23964	10152	4112	2641	2255	1892	2320	848	669	255	103	92	95	51	124	284	171	206	303	114	197	283	0	210	1175	1457	1711	1381	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1995_SO2_FAM2911	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	89	0	64	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-1969	Unknown	Unknown	0	0	0	10585	45759	26238	20183	255	6463	5404	18980	5780	843	2751	1790	2927	2956	3487	2560	2547	4790	3206	1376	2354	1077	3439	3831	3140	4339	4273	8393	11628	7806	3189	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2243_SO2_FAM3136	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-13022	DNA	MULE-MuDR	36	0	0	0	0	399	3165	6279	6398	7187	5036	2806	2922	1944	4003	2456	3090	1677	2604	2461	2299	2165	2104	2915	3022	2826	1980	4658	1680	1550	3264	1298	2834	2021	567	945	156	279	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-1137	Unknown	Unknown	0	0	36	181	694	402	1395	3268	7950	18376	18998	15607	9781	9032	2519	1759	449	1006	366	102	85	51	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-10250	DNA	TcMar-m44	74	0	36	80	89	0	150	372	669	851	2405	1496	3902	8536	7614	6825	6078	6401	4536	3556	2278	1395	1612	1265	1996	2169	2102	2480	1297	1665	1283	235	302	145	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1102	Unknown	Unknown	1966	19671	22822	14579	3914	1955	3067	5270	4603	3432	3589	4235	3084	4301	3304	7039	7221	6928	2654	1563	583	173	291	118	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
